timestamp,open,high,low,close,volume
2025-02-03,2869.68,2921.0,2125.01,2879.9,2807979.021
2025-02-04,2879.89,2888.5,2632.6,2731.19,1259594.3919
2025-02-05,2731.19,2826.95,2699.13,2788.25,686593.0429
2025-02-06,2788.25,2857.64,2655.28,2686.64,719459.9571
2025-02-07,2686.63,2797.5,2562.51,2622.1,695467.3612
2025-02-08,2622.11,2667.3,2588.8,2632.46,379685.1509
2025-02-09,2632.46,2698.9,2520.02,2627.18,387166.7911
2025-02-10,2627.18,2693.79,2559.85,2661.19,398173.2716
2025-02-11,2661.19,2725.04,2558.24,2602.59,484196.1435
2025-02-12,2602.59,2795.45,2546.92,2738.27,646295.8959
2025-02-13,2738.27,2757.28,2612.76,2675.87,443769.2853
2025-02-14,2675.87,2791.78,2664.46,2725.95,419895.7862
2025-02-15,2725.95,2739.0,2662.28,2693.04,202971.4295
2025-02-16,2693.04,2727.31,2651.26,2661.41,191231.5314
2025-02-17,2661.41,2849.7,2637.71,2744.05,639739.8197
2025-02-18,2744.05,2756.93,2605.44,2671.99,604863.8737
2025-02-19,2672.0,2736.7,2656.03,2715.5,326154.0202
2025-02-20,2715.51,2770.59,2707.18,2738.04,336735.2544
2025-02-21,2738.04,2845.32,2616.72,2663.0,890440.0604
2025-02-22,2663.0,2798.07,2653.33,2763.22,444989.6669
2025-02-23,2763.23,2857.34,2745.41,2819.69,611002.1222
2025-02-24,2819.7,2839.95,2470.33,2513.52,876876.3707
2025-02-25,2513.52,2533.49,2313.49,2495.7,1322016.8718
2025-02-26,2495.69,2507.5,2253.77,2336.37,863087.2133
2025-02-27,2336.38,2381.6,2230.57,2307.72,637583.9106
2025-02-28,2307.72,2314.18,2076.26,2237.59,1291539.0557
2025-03-01,2237.59,2281.14,2142.73,2217.39,446430.7271
2025-03-02,2217.4,2550.58,2172.04,2518.11,1266684.7748
2025-03-03,2518.12,2523.56,2097.91,2149.01,1109565.2003
2025-03-04,2149.02,2221.88,1993.2,2171.51,1257822.3372
2025-03-05,2171.5,2273.51,2155.03,2241.59,687130.7897
2025-03-06,2241.59,2319.99,2176.9,2202.2,596908.3935
2025-03-07,2202.21,2258.47,2101.82,2141.6,782387.2606
2025-03-08,2141.6,2234.93,2105.06,2203.58,328793.0979
2025-03-09,2203.57,2212.0,1989.66,2020.41,601671.5882
2025-03-10,2020.43,2152.4,1810.01,1865.1,1248745.3514
2025-03-11,1865.11,1963.2,1754.28,1923.43,1171427.9995
2025-03-12,1923.42,1960.0,1829.72,1908.2,788739.6763
2025-03-13,1908.2,1923.09,1821.81,1864.59,569537.2622
2025-03-14,1864.59,1945.64,1861.31,1911.65,375805.7355
2025-03-15,1911.64,1957.19,1903.75,1937.17,209545.8675
2025-03-16,1937.18,1940.87,1860.38,1887.0,324766.6564
2025-03-17,1887.01,1952.4,1879.98,1926.31,334840.4877
2025-03-18,1926.3,1936.2,1872.31,1931.54,332896.0155
2025-03-19,1931.54,2069.9,1927.58,2056.06,691809.5034
2025-03-20,2056.05,2067.9,1952.17,1983.79,401518.9282
2025-03-21,1983.79,1996.73,1937.1,1965.75,262641.659
2025-03-22,1965.74,2006.61,1964.34,1980.69,170782.9574
2025-03-23,1980.68,2020.74,1976.81,2005.99,268707.5233
2025-03-24,2005.99,2104.11,1977.67,2081.2,477912.8154
2025-03-25,2081.2,2097.7,2037.08,2066.15,328765.3292
2025-03-26,2066.16,2079.21,1981.6,2009.52,428975.3286
2025-03-27,2009.52,2037.38,1987.06,2003.66,360634.8383
2025-03-28,2003.67,2015.93,1860.0,1896.9,626167.5832
2025-03-29,1896.9,1913.6,1797.2,1828.08,409769.7555
2025-03-30,1828.09,1849.01,1767.69,1807.74,327843.4476
2025-03-31,1807.74,1854.22,1776.75,1822.43,497854.9052
2025-04-01,1822.43,1927.9,1817.88,1904.98,452989.0974
2025-04-02,1904.98,1957.0,1781.53,1795.22,750840.7823
2025-04-03,1795.21,1845.26,1750.0,1817.23,508075.018
2025-04-04,1817.23,1835.68,1758.72,1816.87,572734.4702
2025-04-05,1816.88,1827.29,1764.39,1806.01,201716.2696
2025-04-06,1806.02,1817.0,1537.5,1580.76,979847.0958
2025-04-07,1580.77,1639.0,1411.01,1553.04,2168796.0067
2025-04-08,1553.04,1618.67,1441.3,1473.41,891846.1327
2025-04-09,1473.41,1689.0,1385.05,1669.51,1968530.9138
2025-04-10,1669.51,1669.85,1471.02,1522.25,911855.3934
2025-04-11,1522.24,1591.47,1504.63,1566.85,578484.3183
2025-04-12,1566.85,1669.59,1546.06,1644.18,501867.9033
2025-04-13,1644.19,1649.75,1562.01,1597.76,580136.6145
2025-04-14,1597.76,1691.5,1595.56,1623.77,645930.1419
2025-04-15,1623.78,1661.21,1583.12,1588.78,476178.8915
2025-04-16,1588.77,1613.66,1538.07,1577.14,611387.8686
2025-04-17,1577.15,1616.96,1563.2,1583.62,449870.3628
2025-04-18,1583.63,1600.64,1573.54,1588.6,200409.0359
2025-04-19,1588.6,1631.81,1585.01,1613.27,223096.3899
2025-04-20,1613.26,1619.19,1565.59,1587.36,276052.2306
2025-04-21,1587.36,1658.75,1564.07,1579.57,691486.6667
2025-04-22,1579.57,1653.79,1537.26,1646.12,494529.7428
